,Sneaker,Modelo,Precio,Codigo,Image,Url
0,Nike Air Max Infinity 2,001020318-0100,"$2,099.00",CU9452-001,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020318-0100V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Nike-Air-Max-Infinit-2-Hombre-CU9452-001
1,adidas ZX 2K Boost Pure,001022606-0201,"$2,999.00",GZ7731,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022606-0201V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-ZX-2K-Boost-Pure-Hombre-GZ7731
2,adidas 4D Fusio,001022063-0101,"$5,499.00",GZ7885,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022063-0101V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-4D-Fusio-Hombre-GZ7885
3,adidas 4D Fusio,001022063-0000,"$5,499.00",H04510,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022063-0000V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-4D-Fusio-Hombre-H04510
4,adidas Stan Smith,001021443-0106,"$1,899.00",FX5541,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021443-0106V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-adidas-Stan-Smith-Hombre-FX5541
5,Vans ERA 59,001022613-0501,$999.00,VN0A34589MG,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0501V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589MG
6,Reebok Classic Leather Legacy,001021321-0203,"$1,899.00",FZ2923,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021321-0203V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-Classic-Leather-Legac-Homb-FZ2923
7,Reebok x Nerf Kamikaze 2,001022612-0006,"$2,799.00",GY8070,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022612-0006V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-x-Nerf-Kamikaze-2-Hombre-G8070
8,Reebok x Nerf Kamikaze 2,001022611-0012,"$2,499.00",GV7743,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022611-0012V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-x-Nerf-Kamikaze-2-Hombre-GV7743
9,Vans ERA 59,001022613-0301,$999.00,VN0A34589ME,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0301V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589ME
10,Vans ERA 59,001022613-0201,$999.00,VN0A34589MC,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0201V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589MC
11,Lotto Aisak,001020785-0005,$599.40,0H337016,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020785-0005V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Lotto-Aisak-Hombre-0H337016
12,Reebok Club C Power Rangers,001022454-0714,"$1,999.00",GW2424,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022454-0714V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-Club-C-Power-Rangers-Hombre-GW2424
13,Reebok Club C Legacy Power Rangers,001021256-0300,"$2,499.00",GX2826,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021256-0300V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-Club-C-Legac-Power-Rangers-GX2826
14,Nike Air Max AP,001020831-0105,"$2,199.00",CU4826-101,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020831-0105V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Nike-Air-Max-AP-Hombre-CU4826-101
15,Nike Air Max AP,001020831-0103,"$2,199.00",CU4826-100,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020831-0103V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Nike-Air-Max-AP-Hombre-CU4826-100
16,adidas U Path Run,001021474-0001,"$1,799.00",FY5688,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021474-0001V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-adidas-U-Path-Run-Hombre-F5688
17,adidas ZX 1K Boost,001021430-0007,"$1,599.20",FY3632,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021430-0007V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-adidas-ZX-1K-Boost-Hombre-F3632
18,adidas OZWEEGO Flipshield,001021368-0011,"$2,799.00",FX6044,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021368-0011V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-adidas-OZWEEGO-Flipshield-Hombre-FX6044
19,Lacoste Carnaby Evo,001021770-0106,"$3,499.00",741SMA00031R5,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021770-0106V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Lacoste-Carnab-Evo-Hombre-741SMA00031R5
20,Puma RS-Fast,001021712-0212,"$2,599.00",38055901,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021712-0212V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Puma-RS-Fast-Hombre-380559-01
21,Puma Pacer Future,001021715-0000,"$1,899.00",38060302,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021715-0000V1.jpg,https://www.dpstreet.mx/puma-marcas-dpstreet/Tenis-Puma-Pacer-Future-Hombre-380603-02
22,adidas Swift Run,001022348-0006,"$1,699.00",FY5686,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022348-0006V1.jpg,https://www.dpstreet.mx/ProductDisplay?urlRequestType=Base&catalogId=13051&categoryId=16064&productId=1602759&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-5&top_category=16051&parent_category_rn=16051&storeId=10152
23,adidas Multix,001022093-0501,"$1,799.00",H04470,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022093-0501V1.jpg,https://www.dpstreet.mx/ProductDisplay?urlRequestType=Base&catalogId=13051&categoryId=16064&productId=1602737&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-5&top_category=16051&parent_category_rn=16051&storeId=10152
24,Nike Air Max Infinity 2,001020318-0100,"$2,099.00",CU9452-001,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020318-0100V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Nike-Air-Max-Infinit-2-Hombre-CU9452-001
25,adidas ZX 2K Boost Pure,001022606-0201,"$2,999.00",GZ7731,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022606-0201V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-ZX-2K-Boost-Pure-Hombre-GZ7731
26,adidas 4D Fusio,001022063-0101,"$5,499.00",GZ7885,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022063-0101V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-4D-Fusio-Hombre-GZ7885
27,adidas 4D Fusio,001022063-0000,"$5,499.00",H04510,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022063-0000V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-4D-Fusio-Hombre-H04510
28,adidas Stan Smith,001021443-0106,"$1,899.00",FX5541,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021443-0106V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-adidas-Stan-Smith-Hombre-FX5541
29,Vans ERA 59,001022613-0501,$999.00,VN0A34589MG,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0501V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589MG
30,Reebok Classic Leather Legacy,001021321-0203,"$1,899.00",FZ2923,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021321-0203V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-Classic-Leather-Legac-Homb-FZ2923
31,Reebok x Nerf Kamikaze 2,001022612-0006,"$2,799.00",GY8070,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022612-0006V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-x-Nerf-Kamikaze-2-Hombre-G8070
32,Reebok x Nerf Kamikaze 2,001022611-0012,"$2,499.00",GV7743,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022611-0012V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-x-Nerf-Kamikaze-2-Hombre-GV7743
33,Vans ERA 59,001022613-0301,$999.00,VN0A34589ME,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0301V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589ME
34,Vans ERA 59,001022613-0201,$999.00,VN0A34589MC,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0201V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589MC
35,Lotto Aisak,001020785-0005,$599.40,0H337016,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020785-0005V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Lotto-Aisak-Hombre-0H337016
36,Reebok Club C Power Rangers,001022454-0714,"$1,999.00",GW2424,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022454-0714V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-Club-C-Power-Rangers-Hombre-GW2424
37,Reebok Club C Legacy Power Rangers,001021256-0300,"$2,499.00",GX2826,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021256-0300V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-Club-C-Legac-Power-Rangers-GX2826
38,Nike Air Max AP,001020831-0105,"$2,199.00",CU4826-101,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020831-0105V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Nike-Air-Max-AP-Hombre-CU4826-101
39,Nike Air Max AP,001020831-0103,"$2,199.00",CU4826-100,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020831-0103V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Nike-Air-Max-AP-Hombre-CU4826-100
40,adidas U Path Run,001021474-0001,"$1,799.00",FY5688,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021474-0001V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-adidas-U-Path-Run-Hombre-F5688
41,adidas ZX 1K Boost,001021430-0007,"$1,599.20",FY3632,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021430-0007V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-adidas-ZX-1K-Boost-Hombre-F3632
42,adidas OZWEEGO Flipshield,001021368-0011,"$2,799.00",FX6044,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021368-0011V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-adidas-OZWEEGO-Flipshield-Hombre-FX6044
43,Lacoste Carnaby Evo,001021770-0106,"$3,499.00",741SMA00031R5,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021770-0106V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Lacoste-Carnab-Evo-Hombre-741SMA00031R5
44,Puma RS-Fast,001021712-0212,"$2,599.00",38055901,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021712-0212V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Puma-RS-Fast-Hombre-380559-01
45,Puma Pacer Future,001021715-0000,"$1,899.00",38060302,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021715-0000V1.jpg,https://www.dpstreet.mx/puma-marcas-dpstreet/Tenis-Puma-Pacer-Future-Hombre-380603-02
46,adidas Swift Run,001022348-0006,"$1,699.00",FY5686,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022348-0006V1.jpg,https://www.dpstreet.mx/ProductDisplay?urlRequestType=Base&catalogId=13051&categoryId=16064&productId=1602759&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-5&top_category=16051&parent_category_rn=16051&storeId=10152
47,adidas Multix,001022093-0501,"$1,799.00",H04470,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022093-0501V1.jpg,https://www.dpstreet.mx/ProductDisplay?urlRequestType=Base&catalogId=13051&categoryId=16064&productId=1602737&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-5&top_category=16051&parent_category_rn=16051&storeId=10152
48,Nike Air Max Infinity 2,001020318-0100,"$2,099.00",CU9452-001,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020318-0100V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Nike-Air-Max-Infinit-2-Hombre-CU9452-001
49,adidas ZX 2K Boost Pure,001022606-0201,"$2,999.00",GZ7731,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022606-0201V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-ZX-2K-Boost-Pure-Hombre-GZ7731
50,adidas 4D Fusio,001022063-0101,"$5,499.00",GZ7885,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022063-0101V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-4D-Fusio-Hombre-GZ7885
51,adidas 4D Fusio,001022063-0000,"$5,499.00",H04510,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022063-0000V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-4D-Fusio-Hombre-H04510
52,adidas Stan Smith,001021443-0106,"$1,899.00",FX5541,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021443-0106V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-adidas-Stan-Smith-Hombre-FX5541
53,Vans ERA 59,001022613-0501,$999.00,VN0A34589MG,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0501V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589MG
54,Reebok Classic Leather Legacy,001021321-0203,"$1,899.00",FZ2923,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021321-0203V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-Classic-Leather-Legac-Homb-FZ2923
55,Reebok x Nerf Kamikaze 2,001022612-0006,"$2,799.00",GY8070,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022612-0006V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-x-Nerf-Kamikaze-2-Hombre-G8070
56,Reebok x Nerf Kamikaze 2,001022611-0012,"$2,499.00",GV7743,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022611-0012V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-x-Nerf-Kamikaze-2-Hombre-GV7743
57,Vans ERA 59,001022613-0301,$999.00,VN0A34589ME,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0301V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589ME
58,Vans ERA 59,001022613-0201,$999.00,VN0A34589MC,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0201V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589MC
59,Lotto Aisak,001020785-0005,$599.40,0H337016,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020785-0005V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Lotto-Aisak-Hombre-0H337016
60,Reebok Club C Power Rangers,001022454-0714,"$1,999.00",GW2424,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022454-0714V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-Club-C-Power-Rangers-Hombre-GW2424
61,Reebok Club C Legacy Power Rangers,001021256-0300,"$2,499.00",GX2826,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021256-0300V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-Club-C-Legac-Power-Rangers-GX2826
62,Nike Air Max AP,001020831-0105,"$2,199.00",CU4826-101,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020831-0105V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Nike-Air-Max-AP-Hombre-CU4826-101
63,Nike Air Max AP,001020831-0103,"$2,199.00",CU4826-100,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020831-0103V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Nike-Air-Max-AP-Hombre-CU4826-100
64,adidas U Path Run,001021474-0001,"$1,799.00",FY5688,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021474-0001V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-adidas-U-Path-Run-Hombre-F5688
65,adidas ZX 1K Boost,001021430-0007,"$1,599.20",FY3632,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021430-0007V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-adidas-ZX-1K-Boost-Hombre-F3632
66,adidas OZWEEGO Flipshield,001021368-0011,"$2,799.00",FX6044,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021368-0011V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-adidas-OZWEEGO-Flipshield-Hombre-FX6044
67,Lacoste Carnaby Evo,001021770-0106,"$3,499.00",741SMA00031R5,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021770-0106V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Lacoste-Carnab-Evo-Hombre-741SMA00031R5
68,Puma RS-Fast,001021712-0212,"$2,599.00",38055901,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021712-0212V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Puma-RS-Fast-Hombre-380559-01
69,Puma Pacer Future,001021715-0000,"$1,899.00",38060302,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021715-0000V1.jpg,https://www.dpstreet.mx/puma-marcas-dpstreet/Tenis-Puma-Pacer-Future-Hombre-380603-02
70,adidas Swift Run,001022348-0006,"$1,699.00",FY5686,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022348-0006V1.jpg,https://www.dpstreet.mx/ProductDisplay?urlRequestType=Base&catalogId=13051&categoryId=16064&productId=1602759&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-5&top_category=16051&parent_category_rn=16051&storeId=10152
71,adidas Multix,001022093-0501,"$1,799.00",H04470,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022093-0501V1.jpg,https://www.dpstreet.mx/ProductDisplay?urlRequestType=Base&catalogId=13051&categoryId=16064&productId=1602737&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-5&top_category=16051&parent_category_rn=16051&storeId=10152
72,Nike Air Max Infinity 2,001020318-0100,"$2,099.00",CU9452-001,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020318-0100V1.jpg,https://www.dpstreet.mx/Tenis-Nike-Air-Max-Infinit-2-Hombre-CU9452-001
73,adidas ZX 2K Boost Pure,001022606-0201,"$2,999.00",GZ7731,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022606-0201V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-adidas-ZX-2K-Boost-Pure-Hombre-GZ7731
74,adidas 4D Fusio,001022063-0101,"$5,499.00",GZ7885,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022063-0101V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-4D-Fusio-Hombre-GZ7885
75,adidas 4D Fusio,001022063-0000,"$5,499.00",H04510,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022063-0000V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-4D-Fusio-Hombre-H04510
76,adidas Stan Smith,001021443-0106,"$1,899.00",FX5541,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021443-0106V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-Stan-Smith-Hombre-FX5541
77,Vans ERA 59,001022613-0501,$999.00,VN0A34589MG,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0501V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589MG
78,Reebok Classic Leather Legacy,001021321-0203,"$1,899.00",FZ2923,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021321-0203V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/urbano-hombre-dpstreet/Tenis-Reebok-Classic-Leather-Legac-Homb-FZ2923
79,Reebok x Nerf Kamikaze 2,001022612-0006,"$2,799.00",GY8070,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022612-0006V1.jpg,https://www.dpstreet.mx/marcas-dpstreet/reebok-marcas-dpstreet/Tenis-Reebok-x-Nerf-Kamikaze-2-Hombre-G8070
80,Reebok x Nerf Kamikaze 2,001022611-0012,"$2,499.00",GV7743,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022611-0012V1.jpg,https://www.dpstreet.mx/marcas-dpstreet/Tenis-Reebok-x-Nerf-Kamikaze-2-Hombre-GV7743
