,Sneaker,Modelo,Precio,Codigo,Image,Url
160,adidas U Path Run,001021474-0001,"$1,799.00",FY5688,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021474-0001V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-adidas-U-Path-Run-Hombre-F5688
161,adidas ZX 1K Boost,001021430-0007,"$1,599.20",FY3632,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021430-0007V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-adidas-ZX-1K-Boost-Hombre-F3632
162,adidas OZWEEGO Flipshield,001021368-0011,"$2,799.00",FX6044,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021368-0011V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-adidas-OZWEEGO-Flipshield-Hombre-FX6044
163,Lacoste Carnaby Evo,001021770-0106,"$3,499.00",741SMA00031R5,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021770-0106V1.jpg,https://www.dpstreet.mx/ProductDisplay?urlRequestType=Base&catalogId=13051&categoryId=&productId=1610290&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-5&top_category=&parent_category_rn=&storeId=10152
164,Puma RS-Fast,001021712-0212,"$2,599.00",38055901,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021712-0212V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Puma-RS-Fast-Hombre-380559-01
165,Puma Pacer Future,001021715-0000,"$1,899.00",38060302,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021715-0000V1.jpg,https://www.dpstreet.mx/ProductDisplay?urlRequestType=Base&catalogId=13051&categoryId=16064&productId=1607361&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-5&top_category=16051&parent_category_rn=16051&storeId=10152
166,adidas Swift Run,001022348-0006,"$1,699.00",FY5686,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022348-0006V1.jpg,https://www.dpstreet.mx/ProductDisplay?urlRequestType=Base&catalogId=13051&categoryId=16064&productId=1602759&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-5&top_category=16051&parent_category_rn=16051&storeId=10152
167,adidas Multix,001022093-0501,"$1,799.00",H04470,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022093-0501V1.jpg,https://www.dpstreet.mx/adidas-marcas-dpstreet/Tenis-adidas-Multix-Hombre-H04470
168,Nike Air Max Infinity 2,001020318-0100,"$2,099.00",CU9452-001,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020318-0100V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Nike-Air-Max-Infinit-2-Hombre-CU9452-001
169,adidas ZX 2K Boost Pure,001022606-0201,"$2,999.00",GZ7731,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022606-0201V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-ZX-2K-Boost-Pure-Hombre-GZ7731
170,adidas 4D Fusio,001022063-0101,"$5,499.00",GZ7885,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022063-0101V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-4D-Fusio-Hombre-GZ7885
171,adidas 4D Fusio,001022063-0000,"$5,499.00",H04510,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022063-0000V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-4D-Fusio-Hombre-H04510
172,adidas Stan Smith,001021443-0106,"$1,899.00",FX5541,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021443-0106V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-adidas-Stan-Smith-Hombre-FX5541
173,Vans ERA 59,001022613-0501,$999.00,VN0A34589MG,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0501V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589MG
174,Reebok Classic Leather Legacy,001021321-0203,"$1,899.00",FZ2923,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021321-0203V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-Classic-Leather-Legac-Homb-FZ2923
175,Reebok x Nerf Kamikaze 2,001022612-0006,"$2,799.00",GY8070,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022612-0006V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-x-Nerf-Kamikaze-2-Hombre-G8070
176,Reebok x Nerf Kamikaze 2,001022611-0012,"$2,499.00",GV7743,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022611-0012V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-x-Nerf-Kamikaze-2-Hombre-GV7743
177,Vans ERA 59,001022613-0301,$999.00,VN0A34589ME,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0301V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589ME
178,Vans ERA 59,001022613-0201,$999.00,VN0A34589MC,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0201V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589MC
179,Lotto Aisak,001020785-0005,$599.40,0H337016,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020785-0005V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Lotto-Aisak-Hombre-0H337016
180,Reebok Club C Power Rangers,001022454-0714,"$1,999.00",GW2424,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022454-0714V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-Club-C-Power-Rangers-Hombre-GW2424
181,Reebok Club C Legacy Power Rangers,001021256-0300,"$2,499.00",GX2826,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021256-0300V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-Club-C-Legac-Power-Rangers-GX2826
182,Nike Air Max AP,001020831-0105,"$2,199.00",CU4826-101,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020831-0105V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Nike-Air-Max-AP-Hombre-CU4826-101
183,Nike Air Max AP,001020831-0103,"$2,199.00",CU4826-100,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020831-0103V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Nike-Air-Max-AP-Hombre-CU4826-100
184,adidas U Path Run,001021474-0001,"$1,799.00",FY5688,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021474-0001V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-adidas-U-Path-Run-Hombre-F5688
185,adidas ZX 1K Boost,001021430-0007,"$1,599.20",FY3632,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021430-0007V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-adidas-ZX-1K-Boost-Hombre-F3632
186,adidas OZWEEGO Flipshield,001021368-0011,"$2,799.00",FX6044,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021368-0011V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-adidas-OZWEEGO-Flipshield-Hombre-FX6044
187,Lacoste Carnaby Evo,001021770-0106,"$3,499.00",741SMA00031R5,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021770-0106V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Lacoste-Carnab-Evo-Hombre-741SMA00031R5
188,Puma RS-Fast,001021712-0212,"$2,599.00",38055901,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021712-0212V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Puma-RS-Fast-Hombre-380559-01
189,Puma Pacer Future,001021715-0000,"$1,899.00",38060302,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021715-0000V1.jpg,https://www.dpstreet.mx/puma-marcas-dpstreet/Tenis-Puma-Pacer-Future-Hombre-380603-02
190,adidas Swift Run,001022348-0006,"$1,699.00",FY5686,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022348-0006V1.jpg,https://www.dpstreet.mx/ProductDisplay?urlRequestType=Base&catalogId=13051&categoryId=16064&productId=1602759&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-5&top_category=16051&parent_category_rn=16051&storeId=10152
191,adidas Multix,001022093-0501,"$1,799.00",H04470,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022093-0501V1.jpg,https://www.dpstreet.mx/ProductDisplay?urlRequestType=Base&catalogId=13051&categoryId=16064&productId=1602737&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-5&top_category=16051&parent_category_rn=16051&storeId=10152
192,Nike Air Max Infinity 2,001020318-0100,"$2,099.00",CU9452-001,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020318-0100V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-Nike-Air-Max-Infinit-2-Hombre-CU9452-001
193,adidas ZX 2K Boost Pure,001022606-0201,"$2,999.00",GZ7731,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022606-0201V1.jpg,https://www.dpstreet.mx/Tenis-adidas-ZX-2K-Boost-Pure-Hombre-GZ7731
194,adidas 4D Fusio,001022063-0101,"$5,499.00",GZ7885,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022063-0101V1.jpg,https://www.dpstreet.mx/Tenis-adidas-4D-Fusio-Hombre-GZ7885
195,adidas 4D Fusio,001022063-0000,"$5,499.00",H04510,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022063-0000V1.jpg,https://www.dpstreet.mx/marcas-dpstreet/Tenis-adidas-4D-Fusio-Hombre-H04510
196,adidas Stan Smith,001021443-0106,"$1,899.00",FX5541,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021443-0106V1.jpg,https://www.dpstreet.mx/marcas-dpstreet/Tenis-adidas-Stan-Smith-Hombre-FX5541
197,Vans ERA 59,001022613-0501,$999.00,VN0A34589MG,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0501V1.jpg,https://www.dpstreet.mx/marcas-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589MG
198,Reebok Classic Leather Legacy,001021321-0203,"$1,899.00",FZ2923,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021321-0203V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Reebok-Classic-Leather-Legac-Homb-FZ2923
199,Reebok x Nerf Kamikaze 2,001022612-0006,"$2,799.00",GY8070,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022612-0006V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Reebok-x-Nerf-Kamikaze-2-Hombre-G8070
200,Reebok x Nerf Kamikaze 2,001022611-0012,"$2,499.00",GV7743,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022611-0012V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Reebok-x-Nerf-Kamikaze-2-Hombre-GV7743
201,Vans ERA 59,001022613-0301,$999.00,VN0A34589ME,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0301V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589ME
202,Vans ERA 59,001022613-0201,$999.00,VN0A34589MC,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0201V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589MC
203,Lotto Aisak,001020785-0005,$599.40,0H337016,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020785-0005V1.jpg,https://www.dpstreet.mx/Tenis-Lotto-Aisak-Hombre-0H337016
204,Reebok Club C Power Rangers,001022454-0714,"$1,999.00",GW2424,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022454-0714V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Reebok-Club-C-Power-Rangers-Hombre-GW2424
205,Reebok Club C Legacy Power Rangers,001021256-0300,"$2,499.00",GX2826,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021256-0300V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Reebok-Club-C-Legac-Power-Rangers-GX2826
206,Nike Air Max AP,001020831-0105,"$2,199.00",CU4826-101,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020831-0105V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Nike-Air-Max-AP-Hombre-CU4826-101
207,Nike Air Max AP,001020831-0103,"$2,199.00",CU4826-100,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020831-0103V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Nike-Air-Max-AP-Hombre-CU4826-100
208,adidas U Path Run,001021474-0001,"$1,799.00",FY5688,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021474-0001V1.jpg,https://www.dpstreet.mx/Tenis-adidas-U-Path-Run-Hombre-F5688
209,adidas ZX 1K Boost,001021430-0007,"$1,599.20",FY3632,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021430-0007V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-adidas-ZX-1K-Boost-Hombre-F3632
210,adidas OZWEEGO Flipshield,001021368-0011,"$2,799.00",FX6044,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021368-0011V1.jpg,https://www.dpstreet.mx/Tenis-adidas-OZWEEGO-Flipshield-Hombre-FX6044
211,Lacoste Carnaby Evo,001021770-0106,"$3,499.00",741SMA00031R5,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021770-0106V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Lacoste-Carnab-Evo-Hombre-741SMA00031R5
212,Puma RS-Fast,001021712-0212,"$2,599.00",38055901,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021712-0212V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Puma-RS-Fast-Hombre-380559-01
213,Puma Pacer Future,001021715-0000,"$1,899.00",38060302,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021715-0000V1.jpg,https://www.dpstreet.mx/ProductDisplay?urlRequestType=Base&catalogId=13051&categoryId=16053&productId=1607361&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-5&top_category=16053&parent_category_rn=16053&storeId=10152
214,adidas Swift Run,001022348-0006,"$1,699.00",FY5686,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022348-0006V1.jpg,https://www.dpstreet.mx/Tenis-adidas-Swift-Run-Hombre-F5686
215,adidas Multix,001022093-0501,"$1,799.00",H04470,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022093-0501V1.jpg,https://www.dpstreet.mx/ProductDisplay?urlRequestType=Base&catalogId=13051&categoryId=16064&productId=1602737&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-5&top_category=16051&parent_category_rn=16051&storeId=10152
216,Nike Air Max Infinity 2,001020318-0100,"$2,099.00",CU9452-001,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020318-0100V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Nike-Air-Max-Infinit-2-Hombre-CU9452-001
217,adidas ZX 2K Boost Pure,001022606-0201,"$2,999.00",GZ7731,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022606-0201V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-ZX-2K-Boost-Pure-Hombre-GZ7731
218,adidas 4D Fusio,001022063-0101,"$5,499.00",GZ7885,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022063-0101V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-4D-Fusio-Hombre-GZ7885
219,adidas 4D Fusio,001022063-0000,"$5,499.00",H04510,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022063-0000V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-adidas-4D-Fusio-Hombre-H04510
220,adidas Stan Smith,001021443-0106,"$1,899.00",FX5541,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021443-0106V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-adidas-Stan-Smith-Hombre-FX5541
221,Vans ERA 59,001022613-0501,$999.00,VN0A34589MG,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0501V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589MG
222,Reebok Classic Leather Legacy,001021321-0203,"$1,899.00",FZ2923,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021321-0203V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-Classic-Leather-Legac-Homb-FZ2923
223,Reebok x Nerf Kamikaze 2,001022612-0006,"$2,799.00",GY8070,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022612-0006V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-x-Nerf-Kamikaze-2-Hombre-G8070
224,Reebok x Nerf Kamikaze 2,001022611-0012,"$2,499.00",GV7743,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022611-0012V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-x-Nerf-Kamikaze-2-Hombre-GV7743
225,Vans ERA 59,001022613-0301,$999.00,VN0A34589ME,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0301V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589ME
226,Vans ERA 59,001022613-0201,$999.00,VN0A34589MC,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022613-0201V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Vans-ERA-59-Hombre-VN0A34589MC
227,Lotto Aisak,001020785-0005,$599.40,0H337016,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020785-0005V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Lotto-Aisak-Hombre-0H337016
228,Reebok Club C Power Rangers,001022454-0714,"$1,999.00",GW2424,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022454-0714V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-Club-C-Power-Rangers-Hombre-GW2424
229,Reebok Club C Legacy Power Rangers,001021256-0300,"$2,499.00",GX2826,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021256-0300V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/Tenis-Reebok-Club-C-Legac-Power-Rangers-GX2826
230,Nike Air Max AP,001020831-0105,"$2,199.00",CU4826-101,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020831-0105V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Nike-Air-Max-AP-Hombre-CU4826-101
231,Nike Air Max AP,001020831-0103,"$2,199.00",CU4826-100,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1020831-0103V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Nike-Air-Max-AP-Hombre-CU4826-100
232,adidas U Path Run,001021474-0001,"$1,799.00",FY5688,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021474-0001V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-adidas-U-Path-Run-Hombre-F5688
233,adidas ZX 1K Boost,001021430-0007,"$1,599.20",FY3632,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021430-0007V1.jpg,https://www.dpstreet.mx/calzado-hombre-dpstreet/Tenis-adidas-ZX-1K-Boost-Hombre-F3632
234,adidas OZWEEGO Flipshield,001021368-0011,"$2,799.00",FX6044,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021368-0011V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-adidas-OZWEEGO-Flipshield-Hombre-FX6044
235,Lacoste Carnaby Evo,001021770-0106,"$3,499.00",741SMA00031R5,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021770-0106V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Lacoste-Carnab-Evo-Hombre-741SMA00031R5
236,Puma RS-Fast,001021712-0212,"$2,599.00",38055901,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021712-0212V1.jpg,https://www.dpstreet.mx/hombre-dpstreet/calzado-hombre-dpstreet/Tenis-Puma-RS-Fast-Hombre-380559-01
237,Puma Pacer Future,001021715-0000,"$1,899.00",38060302,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1021715-0000V1.jpg,https://www.dpstreet.mx/puma-marcas-dpstreet/Tenis-Puma-Pacer-Future-Hombre-380603-02
238,adidas Swift Run,001022348-0006,"$1,699.00",FY5686,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022348-0006V1.jpg,https://www.dpstreet.mx/ProductDisplay?urlRequestType=Base&catalogId=13051&categoryId=16064&productId=1602759&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-5&top_category=16051&parent_category_rn=16051&storeId=10152
239,adidas Multix,001022093-0501,"$1,799.00",H04470,https://dzqguq0tiw9xx.cloudfront.net//wcsstore/ExtendedSitesCatalogAssetStore/images/catalog/default/1022093-0501V1.jpg,https://www.dpstreet.mx/ProductDisplay?urlRequestType=Base&catalogId=13051&categoryId=16064&productId=1602737&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-5&top_category=16051&parent_category_rn=16051&storeId=10152
